社員番号,所属チーム,年齢層
001,C,ベテラン
002,A,ベテラン
003,B,ベテラン
004,D,若手
005,A,ベテラン
006,A,ベテラン
007,A,ベテラン
008,F,ベテラン
009,F,ベテラン
010,D,若手
011,C,若手
012,D,ベテラン
013,B,若手
014,B,若手
015,C,ベテラン
016,F,若手
017,G,ベテラン
018,A,ベテラン
019,E,若手
020,E,ベテラン
021,F,若手
022,G,若手
023,A,ベテラン
024,C,ベテラン
025,B,ベテラン
026,C,若手
027,G,若手
028,C,ベテラン
029,C,若手
030,E,若手
031,B,ベテラン
032,D,ベテラン
033,C,ベテラン
034,F,ベテラン
035,A,ベテラン
036,G,ベテラン
037,B,若手
038,F,ベテラン
039,C,ベテラン
040,A,ベテラン
041,D,若手
042,G,ベテラン
043,A,ベテラン
044,D,ベテラン
045,B,若手
046,D,若手
047,A,ベテラン
048,F,ベテラン
049,E,若手
050,G,ベテラン
051,B,ベテラン
052,F,若手
053,G,若手
054,E,若手
055,E,ベテラン
056,G,ベテラン
057,A,ベテラン
058,A,若手
059,B,ベテラン
060,C,若手
061,E,若手
062,F,ベテラン
063,A,若手
064,A,若手
065,F,若手
066,F,若手
067,G,ベテラン
068,B,ベテラン
069,B,若手
070,B,ベテラン
071,F,若手
072,F,ベテラン
073,C,ベテラン
074,D,若手
075,E,ベテラン
076,E,若手
077,D,ベテラン
078,D,ベテラン
079,A,ベテラン
080,A,若手
081,A,ベテラン
082,A,ベテラン
083,C,若手
084,C,ベテラン
085,D,ベテラン
086,A,ベテラン
087,F,ベテラン
088,F,若手
089,G,若手
090,A,ベテラン
091,F,ベテラン
092,B,若手
093,E,ベテラン
094,B,ベテラン
095,E,ベテラン
096,C,若手
097,C,ベテラン
098,E,ベテラン
099,E,ベテラン
100,C,ベテラン
